date,time,away,score_away,home,score_home,audience,
"Sun, Dec 1, 2019",3:00p,Miami Heat,109,Brooklyn Nets,106,"17,026",
"Sun, Dec 1, 2019",3:30p,Memphis Grizzlies,115,Minnesota Timberwolves,107,"12,276",
"Sun, Dec 1, 2019",3:30p,Boston Celtics,113,New York Knicks,104,"18,005",
"Sun, Dec 1, 2019",4:00p,Dallas Mavericks,114,Los Angeles Lakers,100,"18,997",
"Sun, Dec 1, 2019",5:00p,San Antonio Spurs,98,Detroit Pistons,132,"14,270",
"Sun, Dec 1, 2019",5:00p,Oklahoma City Thunder,107,New Orleans Pelicans,104,"15,427",
"Sun, Dec 1, 2019",6:00p,Golden State Warriors,96,Orlando Magic,100,"15,052",
"Sun, Dec 1, 2019",6:00p,Utah Jazz,110,Toronto Raptors,130,"18,132",
"Sun, Dec 1, 2019",10:30p,Washington Wizards,125,Los Angeles Clippers,150,"19,068",
"Mon, Dec 2, 2019",7:00p,Phoenix Suns,109,Charlotte Hornets,104,"11,221",
"Mon, Dec 2, 2019",7:00p,Utah Jazz,94,Philadelphia 76ers,103,"20,208",
"Mon, Dec 2, 2019",7:30p,Golden State Warriors,79,Atlanta Hawks,104,"14,278",
"Mon, Dec 2, 2019",8:00p,Indiana Pacers,117,Memphis Grizzlies,104,"11,919",
"Mon, Dec 2, 2019",8:00p,New York Knicks,88,Milwaukee Bucks,132,"17,385",
"Mon, Dec 2, 2019",10:00p,Chicago Bulls,113,Sacramento Kings,106,"17,257",
"Tue, Dec 3, 2019",7:00p,Detroit Pistons,127,Cleveland Cavaliers,94,"17,504",
"Tue, Dec 3, 2019",7:00p,Orlando Magic,127,Washington Wizards,120,"13,159",
"Tue, Dec 3, 2019",7:30p,Dallas Mavericks,118,New Orleans Pelicans,97,"14,664",
"Tue, Dec 3, 2019",7:30p,Miami Heat,121,Toronto Raptors,110,"19,800",
"Tue, Dec 3, 2019",8:30p,Houston Rockets,133,San Antonio Spurs,135,"18,354",
"Tue, Dec 3, 2019",9:00p,Los Angeles Lakers,105,Denver Nuggets,96,"19,658",
"Tue, Dec 3, 2019",10:00p,Portland Trail Blazers,97,Los Angeles Clippers,117,"19,068",
"Wed, Dec 4, 2019",7:00p,Golden State Warriors,91,Charlotte Hornets,106,"14,355",
"Wed, Dec 4, 2019",7:00p,Milwaukee Bucks,127,Detroit Pistons,103,"15,742",
"Wed, Dec 4, 2019",7:00p,Phoenix Suns,114,Orlando Magic,128,"15,176",
"Wed, Dec 4, 2019",7:30p,Brooklyn Nets,130,Atlanta Hawks,118,"15,694",
"Wed, Dec 4, 2019",7:30p,Miami Heat,93,Boston Celtics,112,"19,156",
"Wed, Dec 4, 2019",8:00p,Memphis Grizzlies,99,Chicago Bulls,106,"15,017",
"Wed, Dec 4, 2019",8:00p,Indiana Pacers,107,Oklahoma City Thunder,100,"18,203",
"Wed, Dec 4, 2019",8:30p,Minnesota Timberwolves,114,Dallas Mavericks,121,"19,671",
"Wed, Dec 4, 2019",9:00p,Los Angeles Lakers,121,Utah Jazz,96,"18,306",
"Wed, Dec 4, 2019",10:00p,Sacramento Kings,116,Portland Trail Blazers,127,"19,393",
"Thu, Dec 5, 2019",7:00p,Philadelphia 76ers,113,Washington Wizards,119,"16,554",
"Thu, Dec 5, 2019",7:30p,Denver Nuggets,129,New York Knicks,92,"18,171",
"Thu, Dec 5, 2019",7:30p,Houston Rockets,119,Toronto Raptors,109,"19,800",
"Thu, Dec 5, 2019",8:00p,Phoenix Suns,139,New Orleans Pelicans,132,"15,607",
"Fri, Dec 6, 2019",7:00p,Brooklyn Nets,111,Charlotte Hornets,104,"15,075",
"Fri, Dec 6, 2019",7:00p,Orlando Magic,93,Cleveland Cavaliers,87,"18,446",
"Fri, Dec 6, 2019",7:00p,Indiana Pacers,101,Detroit Pistons,108,"14,894",
"Fri, Dec 6, 2019",8:00p,Denver Nuggets,95,Boston Celtics,108,"19,156",
"Fri, Dec 6, 2019",8:00p,Golden State Warriors,100,Chicago Bulls,98,"18,841",
"Fri, Dec 6, 2019",8:00p,Washington Wizards,103,Miami Heat,112,"19,600",
"Fri, Dec 6, 2019",8:00p,Minnesota Timberwolves,127,Oklahoma City Thunder,139,"18,203",
"Fri, Dec 6, 2019",8:30p,Los Angeles Clippers,91,Milwaukee Bucks,119,"17,732",
"Fri, Dec 6, 2019",8:30p,Sacramento Kings,104,San Antonio Spurs,105,"18,354",
"Fri, Dec 6, 2019",10:30p,Los Angeles Lakers,136,Portland Trail Blazers,113,"19,912",
"Sat, Dec 7, 2019",2:00p,New Orleans Pelicans,84,Dallas Mavericks,130,"19,456",
"Sat, Dec 7, 2019",7:30p,Indiana Pacers,104,New York Knicks,103,"19,110",
"Sat, Dec 7, 2019",7:30p,Cleveland Cavaliers,94,Philadelphia 76ers,141,"20,844",
"Sat, Dec 7, 2019",8:00p,Phoenix Suns,109,Houston Rockets,115,"18,055",
"Sat, Dec 7, 2019",10:00p,Memphis Grizzlies,112,Utah Jazz,126,"18,306",
"Sun, Dec 8, 2019",3:00p,Denver Nuggets,102,Brooklyn Nets,105,"16,679",
"Sun, Dec 8, 2019",5:00p,Atlanta Hawks,122,Charlotte Hornets,107,"15,489",
"Sun, Dec 8, 2019",6:00p,Chicago Bulls,105,Miami Heat,110,"19,600",
"Sun, Dec 8, 2019",6:00p,Toronto Raptors,104,Philadelphia 76ers,110,"20,313",
"Sun, Dec 8, 2019",6:00p,Los Angeles Clippers,135,Washington Wizards,119,"15,946",
"Sun, Dec 8, 2019",7:00p,Sacramento Kings,110,Dallas Mavericks,106,"19,566",
"Sun, Dec 8, 2019",9:00p,Oklahoma City Thunder,108,Portland Trail Blazers,96,"19,393",
"Sun, Dec 8, 2019",9:30p,Minnesota Timberwolves,125,Los Angeles Lakers,142,"18,997",
"Mon, Dec 9, 2019",7:00p,Los Angeles Clippers,110,Indiana Pacers,99,"14,644",
"Mon, Dec 9, 2019",7:30p,Cleveland Cavaliers,88,Boston Celtics,110,"19,156",
"Mon, Dec 9, 2019",8:00p,Toronto Raptors,93,Chicago Bulls,92,"14,775",
"Mon, Dec 9, 2019",8:00p,Sacramento Kings,119,Houston Rockets,118,"18,055",
"Mon, Dec 9, 2019",8:00p,Orlando Magic,101,Milwaukee Bucks,110,"17,385",
"Mon, Dec 9, 2019",8:00p,Detroit Pistons,105,New Orleans Pelicans,103,"13,694",
"Mon, Dec 9, 2019",9:00p,Minnesota Timberwolves,109,Phoenix Suns,125,"13,230",
"Mon, Dec 9, 2019",9:00p,Oklahoma City Thunder,104,Utah Jazz,90,"18,306",
"Mon, Dec 9, 2019",10:30p,Memphis Grizzlies,110,Golden State Warriors,102,"18,064",
"Tue, Dec 10, 2019",7:00p,Washington Wizards,107,Charlotte Hornets,114,"10,626",
"Tue, Dec 10, 2019",8:00p,Atlanta Hawks,121,Miami Heat,135,"19,600",
"Tue, Dec 10, 2019",8:00p,Denver Nuggets,92,Philadelphia 76ers,97,"20,591",
"Tue, Dec 10, 2019",10:00p,New York Knicks,87,Portland Trail Blazers,115,"19,393",
"Wed, Dec 11, 2019",7:00p,Houston Rockets,116,Cleveland Cavaliers,110,"17,122",
"Wed, Dec 11, 2019",7:00p,Boston Celtics,117,Indiana Pacers,122,"15,637",
"Wed, Dec 11, 2019",7:00p,Los Angeles Lakers,96,Orlando Magic,87,"18,846",
"Wed, Dec 11, 2019",7:00p,Los Angeles Clippers,112,Toronto Raptors,92,"20,144",
"Wed, Dec 11, 2019",7:30p,Charlotte Hornets,113,Brooklyn Nets,108,"15,631",
"Wed, Dec 11, 2019",8:00p,Atlanta Hawks,102,Chicago Bulls,136,"15,084",
"Wed, Dec 11, 2019",8:00p,Utah Jazz,127,Minnesota Timberwolves,116,"12,369",
"Wed, Dec 11, 2019",9:00p,Memphis Grizzlies,115,Phoenix Suns,108,"12,254",
"Wed, Dec 11, 2019",9:30p,New Orleans Pelicans,112,Milwaukee Bucks,127,"17,385",
"Wed, Dec 11, 2019",10:00p,Oklahoma City Thunder,93,Sacramento Kings,94,"16,723",
"Wed, Dec 11, 2019",10:30p,New York Knicks,124,Golden State Warriors,122,"18,064",
"Thu, Dec 12, 2019",8:00p,Philadelphia 76ers,115,Boston Celtics,109,"19,156",
"Thu, Dec 12, 2019",8:30p,Cleveland Cavaliers,118,San Antonio Spurs,109,"18,354",
"Thu, Dec 12, 2019",9:00p,Dallas Mavericks,122,Detroit Pistons,111,"20,064","at Mexico City, Mexico"
"Thu, Dec 12, 2019",10:30p,Portland Trail Blazers,99,Denver Nuggets,114,"18,828",
"Fri, Dec 13, 2019",7:00p,Los Angeles Lakers,113,Miami Heat,110,"20,013",
"Fri, Dec 13, 2019",7:00p,Houston Rockets,130,Orlando Magic,107,"16,335",
"Fri, Dec 13, 2019",7:00p,New Orleans Pelicans,109,Philadelphia 76ers,116,"20,620",
"Fri, Dec 13, 2019",7:30p,Indiana Pacers,110,Atlanta Hawks,100,"15,121",
"Fri, Dec 13, 2019",8:00p,Charlotte Hornets,83,Chicago Bulls,73,"18,377",
"Fri, Dec 13, 2019",8:00p,Milwaukee Bucks,127,Memphis Grizzlies,114,"16,109",
"Fri, Dec 13, 2019",9:00p,Golden State Warriors,106,Utah Jazz,114,"18,306",
"Fri, Dec 13, 2019",9:30p,Los Angeles Clippers,124,Minnesota Timberwolves,117,"17,585",
"Fri, Dec 13, 2019",10:00p,New York Knicks,103,Sacramento Kings,101,"17,583",
"Sat, Dec 14, 2019",5:00p,San Antonio Spurs,121,Phoenix Suns,119,"20,013","at Mexico City, Mexico"
"Sat, Dec 14, 2019",7:30p,Brooklyn Nets,102,Toronto Raptors,110,"19,800",
"Sat, Dec 14, 2019",8:00p,Los Angeles Clippers,106,Chicago Bulls,109,"18,426",
"Sat, Dec 14, 2019",8:00p,Washington Wizards,111,Memphis Grizzlies,128,"15,631",
"Sat, Dec 14, 2019",8:30p,Miami Heat,122,Dallas Mavericks,118,"20,333",
"Sat, Dec 14, 2019",8:30p,Cleveland Cavaliers,108,Milwaukee Bucks,125,"17,481",
"Sat, Dec 14, 2019",9:00p,Oklahoma City Thunder,102,Denver Nuggets,110,"19,520",
"Sat, Dec 14, 2019",9:00p,Detroit Pistons,115,Houston Rockets,107,"18,055",
"Sun, Dec 15, 2019",3:30p,Orlando Magic,130,New Orleans Pelicans,119,"15,388",
"Sun, Dec 15, 2019",5:00p,Charlotte Hornets,85,Indiana Pacers,107,"16,061",
"Sun, Dec 15, 2019",6:00p,Los Angeles Lakers,101,Atlanta Hawks,96,"16,962",
"Sun, Dec 15, 2019",6:00p,Philadelphia 76ers,89,Brooklyn Nets,109,"17,732",
"Sun, Dec 15, 2019",8:00p,New York Knicks,105,Denver Nuggets,111,"18,867",
"Sun, Dec 15, 2019",8:30p,Sacramento Kings,100,Golden State Warriors,79,"18,064",
"Mon, Dec 16, 2019",7:00p,Washington Wizards,133,Detroit Pistons,119,"14,632",
"Mon, Dec 16, 2019",7:30p,Cleveland Cavaliers,113,Toronto Raptors,133,"19,800",
"Mon, Dec 16, 2019",8:00p,San Antonio Spurs,107,Houston Rockets,109,"18,055",
"Mon, Dec 16, 2019",8:00p,Miami Heat,111,Memphis Grizzlies,118,"14,021",
"Mon, Dec 16, 2019",8:00p,Dallas Mavericks,120,Milwaukee Bucks,116,"17,727",
"Mon, Dec 16, 2019",8:00p,Chicago Bulls,106,Oklahoma City Thunder,109,"18,203",
"Mon, Dec 16, 2019",9:00p,Portland Trail Blazers,111,Phoenix Suns,110,"14,193",
"Tue, Dec 17, 2019",7:00p,Sacramento Kings,102,Charlotte Hornets,110,"13,229",
"Tue, Dec 17, 2019",7:00p,Los Angeles Lakers,102,Indiana Pacers,105,"17,923",
"Tue, Dec 17, 2019",7:30p,Atlanta Hawks,120,New York Knicks,143,"18,268",
"Tue, Dec 17, 2019",8:00p,Brooklyn Nets,108,New Orleans Pelicans,101,"15,177",
"Tue, Dec 17, 2019",9:00p,Orlando Magic,102,Utah Jazz,109,"18,306",
"Tue, Dec 17, 2019",10:30p,Phoenix Suns,99,Los Angeles Clippers,120,"19,068",
"Wed, Dec 18, 2019",7:00p,Charlotte Hornets,98,Cleveland Cavaliers,100,"17,023",
"Wed, Dec 18, 2019",7:00p,Toronto Raptors,112,Detroit Pistons,99,"15,319",
"Wed, Dec 18, 2019",7:00p,Miami Heat,108,Philadelphia 76ers,104,"20,715",
"Wed, Dec 18, 2019",7:00p,Chicago Bulls,110,Washington Wizards,109,"14,987",
"Wed, Dec 18, 2019",8:00p,New Orleans Pelicans,107,Minnesota Timberwolves,99,"12,490",
"Wed, Dec 18, 2019",8:00p,Memphis Grizzlies,122,Oklahoma City Thunder,126,"18,203",
"Wed, Dec 18, 2019",9:00p,Orlando Magic,104,Denver Nuggets,113,"18,182",
"Wed, Dec 18, 2019",9:30p,Boston Celtics,109,Dallas Mavericks,103,"20,181",
"Wed, Dec 18, 2019",10:00p,Golden State Warriors,112,Portland Trail Blazers,122,"19,393",
"Thu, Dec 19, 2019",7:30p,Utah Jazz,111,Atlanta Hawks,106,"16,739",
"Thu, Dec 19, 2019",8:00p,Los Angeles Lakers,104,Milwaukee Bucks,111,"18,051",
"Thu, Dec 19, 2019",8:30p,Brooklyn Nets,105,San Antonio Spurs,118,"18,354",
"Thu, Dec 19, 2019",10:30p,Houston Rockets,122,Los Angeles Clippers,117,"19,068",
"Fri, Dec 20, 2019",7:00p,Memphis Grizzlies,107,Cleveland Cavaliers,114,"19,432",
"Fri, Dec 20, 2019",7:00p,Sacramento Kings,105,Indiana Pacers,119,"14,649",
"Fri, Dec 20, 2019",7:30p,Detroit Pistons,93,Boston Celtics,114,"19,156",
"Fri, Dec 20, 2019",7:30p,Washington Wizards,118,Toronto Raptors,122,"19,800",
"Fri, Dec 20, 2019",8:00p,New York Knicks,114,Miami Heat,129,"19,704",
"Fri, Dec 20, 2019",8:00p,Phoenix Suns,108,Oklahoma City Thunder,126,"18,203",
"Fri, Dec 20, 2019",8:00p,Dallas Mavericks,117,Philadelphia 76ers,98,"20,778",
"Fri, Dec 20, 2019",9:00p,Minnesota Timberwolves,100,Denver Nuggets,109,"19,520",
"Fri, Dec 20, 2019",10:00p,Orlando Magic,103,Portland Trail Blazers,118,"19,393",
"Fri, Dec 20, 2019",10:30p,New Orleans Pelicans,102,Golden State Warriors,106,"18,064",
"Sat, Dec 21, 2019",5:00p,Utah Jazz,114,Charlotte Hornets,107,"16,187",
"Sat, Dec 21, 2019",6:00p,Atlanta Hawks,112,Brooklyn Nets,122,"16,496",
"Sat, Dec 21, 2019",7:00p,Chicago Bulls,119,Detroit Pistons,107,"15,948",
"Sat, Dec 21, 2019",7:00p,Washington Wizards,108,Philadelphia 76ers,125,"20,529",
"Sat, Dec 21, 2019",7:30p,Milwaukee Bucks,123,New York Knicks,102,"18,124",
"Sat, Dec 21, 2019",8:00p,Sacramento Kings,115,Memphis Grizzlies,119,"15,603",
"Sat, Dec 21, 2019",8:30p,Los Angeles Clippers,134,San Antonio Spurs,109,"18,354",
"Sat, Dec 21, 2019",9:00p,Houston Rockets,139,Phoenix Suns,125,"16,061",
"Sat, Dec 21, 2019",10:00p,Minnesota Timberwolves,106,Portland Trail Blazers,113,"19,393",
"Sun, Dec 22, 2019",3:30p,Dallas Mavericks,107,Toronto Raptors,110,"19,800",
"Sun, Dec 22, 2019",6:00p,Charlotte Hornets,93,Boston Celtics,119,"19,156",
"Sun, Dec 22, 2019",7:00p,Indiana Pacers,89,Milwaukee Bucks,117,"18,029",
"Sun, Dec 22, 2019",7:00p,Los Angeles Clippers,112,Oklahoma City Thunder,118,"18,203",
"Sun, Dec 22, 2019",9:30p,Denver Nuggets,128,Los Angeles Lakers,104,"18,997",
"Mon, Dec 23, 2019",7:00p,Atlanta Hawks,118,Cleveland Cavaliers,121,"18,007",
"Mon, Dec 23, 2019",7:00p,Philadelphia 76ers,125,Detroit Pistons,109,"16,476",
"Mon, Dec 23, 2019",7:00p,Toronto Raptors,115,Indiana Pacers,120,"17,164",
"Mon, Dec 23, 2019",7:00p,Washington Wizards,121,New York Knicks,115,"19,413",
"Mon, Dec 23, 2019",7:00p,Chicago Bulls,95,Orlando Magic,103,"18,846",
"Mon, Dec 23, 2019",7:30p,Utah Jazz,104,Miami Heat,107,"19,890",
"Mon, Dec 23, 2019",8:00p,San Antonio Spurs,145,Memphis Grizzlies,115,"16,776",
"Mon, Dec 23, 2019",9:00p,Denver Nuggets,113,Phoenix Suns,111,"16,041",
"Mon, Dec 23, 2019",10:00p,New Orleans Pelicans,102,Portland Trail Blazers,94,"19,499",
"Mon, Dec 23, 2019",10:00p,Houston Rockets,113,Sacramento Kings,104,"17,583",
"Mon, Dec 23, 2019",10:30p,Minnesota Timberwolves,104,Golden State Warriors,113,"18,064",
"Wed, Dec 25, 2019",12:00p,Boston Celtics,118,Toronto Raptors,102,"19,800",
"Wed, Dec 25, 2019",2:30p,Milwaukee Bucks,109,Philadelphia 76ers,121,"21,028",
"Wed, Dec 25, 2019",5:00p,Houston Rockets,104,Golden State Warriors,116,"18,064",
"Wed, Dec 25, 2019",8:00p,Los Angeles Clippers,111,Los Angeles Lakers,106,"18,997",
"Wed, Dec 25, 2019",10:30p,New Orleans Pelicans,112,Denver Nuggets,100,"19,520",
"Thu, Dec 26, 2019",7:00p,Washington Wizards,102,Detroit Pistons,132,"17,188",
"Thu, Dec 26, 2019",7:30p,New York Knicks,94,Brooklyn Nets,82,"17,732",
"Thu, Dec 26, 2019",8:00p,San Antonio Spurs,98,Dallas Mavericks,102,"20,427",
"Thu, Dec 26, 2019",8:00p,Memphis Grizzlies,110,Oklahoma City Thunder,97,"18,203",
"Thu, Dec 26, 2019",10:00p,Minnesota Timberwolves,105,Sacramento Kings,104,"17,583",
"Thu, Dec 26, 2019",10:30p,Portland Trail Blazers,115,Utah Jazz,121,"18,306",
"Fri, Dec 27, 2019",4:00p,Cleveland Cavaliers,117,Boston Celtics,129,"19,156",
"Fri, Dec 27, 2019",7:00p,Oklahoma City Thunder,104,Charlotte Hornets,102,"18,418",
"Fri, Dec 27, 2019",7:00p,Philadelphia 76ers,97,Orlando Magic,98,"17,311",
"Fri, Dec 27, 2019",7:30p,Milwaukee Bucks,112,Atlanta Hawks,86,"17,358",
"Fri, Dec 27, 2019",8:00p,Indiana Pacers,112,Miami Heat,113,"19,767",
"Fri, Dec 27, 2019",10:30p,Phoenix Suns,96,Golden State Warriors,105,"18,064",
"Sat, Dec 28, 2019",5:00p,Memphis Grizzlies,110,Denver Nuggets,119,"19,697",
"Sat, Dec 28, 2019",7:00p,Toronto Raptors,113,Boston Celtics,97,"19,156",
"Sat, Dec 28, 2019",7:00p,Indiana Pacers,98,New Orleans Pelicans,120,"15,391",
"Sat, Dec 28, 2019",8:00p,Atlanta Hawks,81,Chicago Bulls,116,"21,496",
"Sat, Dec 28, 2019",8:00p,Brooklyn Nets,98,Houston Rockets,108,"18,306",
"Sat, Dec 28, 2019",8:00p,Philadelphia 76ers,116,Miami Heat,117,"19,865",
"Sat, Dec 28, 2019",8:00p,Cleveland Cavaliers,94,Minnesota Timberwolves,88,"15,411",
"Sat, Dec 28, 2019",8:00p,New York Knicks,107,Washington Wizards,100,"19,033",
"Sat, Dec 28, 2019",8:30p,Dallas Mavericks,141,Golden State Warriors,121,"18,064",
"Sat, Dec 28, 2019",8:30p,Orlando Magic,100,Milwaukee Bucks,111,"17,920",
"Sat, Dec 28, 2019",8:30p,Detroit Pistons,109,San Antonio Spurs,136,"18,524",
"Sat, Dec 28, 2019",9:00p,Phoenix Suns,112,Sacramento Kings,110,"17,583",
"Sat, Dec 28, 2019",10:00p,Los Angeles Lakers,128,Portland Trail Blazers,120,"19,960",
"Sat, Dec 28, 2019",10:30p,Utah Jazz,120,Los Angeles Clippers,107,"19,068",
"Sun, Dec 29, 2019",6:00p,Oklahoma City Thunder,98,Toronto Raptors,97,"19,800",
"Sun, Dec 29, 2019",8:00p,Sacramento Kings,115,Denver Nuggets,120,"19,520",
"Sun, Dec 29, 2019",8:00p,Charlotte Hornets,104,Memphis Grizzlies,117,"16,842",
"Sun, Dec 29, 2019",8:00p,Houston Rockets,112,New Orleans Pelicans,127,"17,712",
"Sun, Dec 29, 2019",9:30p,Dallas Mavericks,95,Los Angeles Lakers,108,"18,997",
"Mon, Dec 30, 2019",7:00p,Atlanta Hawks,101,Orlando Magic,93,"17,784",
"Mon, Dec 30, 2019",7:00p,Miami Heat,105,Washington Wizards,123,"20,476",
"Mon, Dec 30, 2019",8:00p,Milwaukee Bucks,123,Chicago Bulls,102,"21,954",
"Mon, Dec 30, 2019",8:00p,Brooklyn Nets,115,Minnesota Timberwolves,122,"15,824",
"Mon, Dec 30, 2019",9:00p,Detroit Pistons,81,Utah Jazz,104,"18,306",
"Mon, Dec 30, 2019",10:00p,Phoenix Suns,122,Portland Trail Blazers,116,"19,896",
"Tue, Dec 31, 2019",3:00p,Boston Celtics,109,Charlotte Hornets,92,"19,216",
"Tue, Dec 31, 2019",3:00p,Philadelphia 76ers,97,Indiana Pacers,115,"17,923",
"Tue, Dec 31, 2019",5:00p,Los Angeles Clippers,105,Sacramento Kings,87,"16,231",
"Tue, Dec 31, 2019",7:00p,Denver Nuggets,104,Houston Rockets,130,"18,055",
"Tue, Dec 31, 2019",7:00p,Golden State Warriors,113,San Antonio Spurs,117,"18,354",
"Tue, Dec 31, 2019",7:00p,Cleveland Cavaliers,97,Toronto Raptors,117,"19,800",
"Tue, Dec 31, 2019",8:00p,Dallas Mavericks,101,Oklahoma City Thunder,106,"18,203",
"Wed, Jan 1, 2020",6:00p,Orlando Magic,122,Washington Wizards,101,"14,921",
"Wed, Jan 1, 2020",7:30p,Portland Trail Blazers,93,New York Knicks,117,"19,812",
"Wed, Jan 1, 2020",8:00p,Minnesota Timberwolves,104,Milwaukee Bucks,106,"17,819",
"Wed, Jan 1, 2020",10:30p,Phoenix Suns,107,Los Angeles Lakers,117,"18,997",
"Thu, Jan 2, 2020",7:00p,Charlotte Hornets,109,Cleveland Cavaliers,106,"17,859",
"Thu, Jan 2, 2020",7:00p,Denver Nuggets,124,Indiana Pacers,116,"16,688",
"Thu, Jan 2, 2020",7:30p,Toronto Raptors,76,Miami Heat,84,"19,939",
"Thu, Jan 2, 2020",8:00p,Utah Jazz,102,Chicago Bulls,98,"19,398",
"Thu, Jan 2, 2020",8:00p,Golden State Warriors,84,Minnesota Timberwolves,99,"15,477",
"Thu, Jan 2, 2020",8:30p,Brooklyn Nets,111,Dallas Mavericks,123,"20,289",
"Thu, Jan 2, 2020",8:30p,Oklahoma City Thunder,109,San Antonio Spurs,103,"18,354",
"Thu, Jan 2, 2020",10:00p,Memphis Grizzlies,123,Sacramento Kings,128,"17,351",
"Thu, Jan 2, 2020",10:30p,Detroit Pistons,112,Los Angeles Clippers,126,"19,068",
"Fri, Jan 3, 2020",7:00p,Atlanta Hawks,106,Boston Celtics,109,"19,156",
"Fri, Jan 3, 2020",7:00p,Miami Heat,85,Orlando Magic,105,"17,198",
"Fri, Jan 3, 2020",7:00p,Portland Trail Blazers,122,Washington Wizards,103,"17,945",
"Fri, Jan 3, 2020",8:00p,Philadelphia 76ers,108,Houston Rockets,118,"18,055",
"Fri, Jan 3, 2020",9:00p,New York Knicks,112,Phoenix Suns,120,"18,055",
"Fri, Jan 3, 2020",10:30p,New Orleans Pelicans,113,Los Angeles Lakers,123,"18,997",
"Sat, Jan 4, 2020",3:30p,Memphis Grizzlies,140,Los Angeles Clippers,114,"19,068",
"Sat, Jan 4, 2020",6:00p,Toronto Raptors,121,Brooklyn Nets,102,"17,732",
"Sat, Jan 4, 2020",7:00p,Utah Jazz,109,Orlando Magic,96,"16,913",
"Sat, Jan 4, 2020",7:30p,Indiana Pacers,111,Atlanta Hawks,116,"16,420",
"Sat, Jan 4, 2020",7:30p,Oklahoma City Thunder,121,Cleveland Cavaliers,106,"19,432",
"Sat, Jan 4, 2020",8:00p,Boston Celtics,111,Chicago Bulls,104,"21,130",
"Sat, Jan 4, 2020",8:00p,Denver Nuggets,114,Washington Wizards,128,"16,233",
"Sat, Jan 4, 2020",8:30p,Charlotte Hornets,123,Dallas Mavericks,120,"20,327",
"Sat, Jan 4, 2020",8:30p,Detroit Pistons,111,Golden State Warriors,104,"18,064",
"Sat, Jan 4, 2020",8:30p,San Antonio Spurs,118,Milwaukee Bucks,127,"18,002",
"Sat, Jan 4, 2020",10:00p,New Orleans Pelicans,117,Sacramento Kings,115,"16,808",
"Sun, Jan 5, 2020",3:30p,New York Knicks,132,Los Angeles Clippers,135,"19,068",
"Sun, Jan 5, 2020",6:00p,Portland Trail Blazers,111,Miami Heat,122,"19,846",
"Sun, Jan 5, 2020",7:30p,Minnesota Timberwolves,118,Cleveland Cavaliers,103,"16,159",
"Sun, Jan 5, 2020",8:00p,Memphis Grizzlies,121,Phoenix Suns,114,"14,181",
"Sun, Jan 5, 2020",10:00p,Detroit Pistons,99,Los Angeles Lakers,106,"18,997",
"Mon, Jan 6, 2020",7:00p,Indiana Pacers,115,Charlotte Hornets,104,"13,009",
"Mon, Jan 6, 2020",7:00p,Brooklyn Nets,89,Orlando Magic,101,"15,008",
"Mon, Jan 6, 2020",7:00p,Oklahoma City Thunder,113,Philadelphia 76ers,120,"20,561",
"Mon, Jan 6, 2020",7:00p,Boston Celtics,94,Washington Wizards,99,"17,963",
"Mon, Jan 6, 2020",7:30p,Denver Nuggets,123,Atlanta Hawks,115,"15,286",
"Mon, Jan 6, 2020",8:00p,Utah Jazz,128,New Orleans Pelicans,126,"14,138",
"Mon, Jan 6, 2020",8:30p,Chicago Bulls,110,Dallas Mavericks,118,"20,238",
"Mon, Jan 6, 2020",8:30p,Milwaukee Bucks,104,San Antonio Spurs,126,"18,354",
"Mon, Jan 6, 2020",10:00p,Golden State Warriors,98,Sacramento Kings,111,"15,819",
"Tue, Jan 7, 2020",7:00p,Detroit Pistons,115,Cleveland Cavaliers,113,"17,274",
"Tue, Jan 7, 2020",7:00p,Portland Trail Blazers,101,Toronto Raptors,99,"19,800",
"Tue, Jan 7, 2020",7:30p,Oklahoma City Thunder,111,Brooklyn Nets,103,"15,677",
"Tue, Jan 7, 2020",8:00p,Minnesota Timberwolves,112,Memphis Grizzlies,119,"14,117",
"Tue, Jan 7, 2020",9:00p,Sacramento Kings,114,Phoenix Suns,103,"14,134",
"Tue, Jan 7, 2020",10:30p,New York Knicks,87,Los Angeles Lakers,117,"18,997",
"Wed, Jan 8, 2020",7:00p,San Antonio Spurs,129,Boston Celtics,114,"19,156",
"Wed, Jan 8, 2020",7:00p,Toronto Raptors,112,Charlotte Hornets,110,"13,965",
"Wed, Jan 8, 2020",7:00p,Miami Heat,122,Indiana Pacers,108,"17,040",
"Wed, Jan 8, 2020",7:00p,Washington Wizards,89,Orlando Magic,123,"16,013",
"Wed, Jan 8, 2020",7:30p,Houston Rockets,122,Atlanta Hawks,115,"16,514",
"Wed, Jan 8, 2020",7:30p,Denver Nuggets,107,Dallas Mavericks,106,"20,314",
"Wed, Jan 8, 2020",8:00p,Chicago Bulls,108,New Orleans Pelicans,123,"15,324",
"Wed, Jan 8, 2020",9:00p,New York Knicks,104,Utah Jazz,128,"18,306",
"Wed, Jan 8, 2020",10:00p,Milwaukee Bucks,107,Golden State Warriors,98,"18,064",
"Thu, Jan 9, 2020",7:00p,Cleveland Cavaliers,115,Detroit Pistons,112,"13,445",
"Thu, Jan 9, 2020",7:00p,Boston Celtics,98,Philadelphia 76ers,109,"20,822",
"Thu, Jan 9, 2020",8:00p,Portland Trail Blazers,102,Minnesota Timberwolves,116,"13,720",
"Thu, Jan 9, 2020",9:30p,Houston Rockets,92,Oklahoma City Thunder,113,"18,203",
